|    | archivo_local   | archivo_muse   |   n_respuestas_inicial |   n_respuestas_final |   balance clase 0(p) |   balance clase 0(p)(train) |   balance clase 0(p)(test) |
|---:|:----------------|:---------------|-----------------------:|---------------------:|---------------------:|----------------------------:|---------------------------:|
|  0 | results0.csv    | museData0.csv  |                    164 |                  163 |             0.603659 |                    0.615385 |                   0.575758 |
|  1 | results1.csv    | museData1.csv  |                    254 |                  252 |             0.594488 |                    0.631841 |                   0.431373 |
|  2 | results10.csv   | museData10.csv |                    137 |                  135 |             0.49635  |                    0.490741 |                   0.481481 |
|  3 | results11.csv   | museData11.csv |                    155 |                  155 |             0.567742 |                    0.540323 |                   0.677419 |
|  4 | results12.csv   | museData12.csv |                    107 |                  106 |             0.485981 |                    0.488095 |                   0.5      |
|  5 | results13.csv   | museData13.csv |                     49 |                   48 |             0.469388 |                    0.447368 |                   0.5      |
|  6 | results14.csv   | museData14.csv |                    153 |                  152 |             0.627451 |                    0.628099 |                   0.612903 |
|  7 | results15.csv   | museData15.csv |                    115 |                  114 |             0.521739 |                    0.538462 |                   0.478261 |
|  8 | results16.csv   | museData16.csv |                    161 |                  160 |             0.416149 |                    0.414062 |                   0.4375   |
|  9 | results17.csv   | museData17.csv |                    158 |                  158 |             0.443038 |                    0.468254 |                   0.34375  |
| 10 | results18.csv   | museData18.csv |                    128 |                  125 |             0.5      |                    0.52     |                   0.4      |
| 11 | results19.csv   | museData19.csv |                     90 |                   90 |             0.477778 |                    0.486111 |                   0.444444 |
| 12 | results4.csv    | museData4.csv  |                    168 |                  168 |             0.547619 |                    0.559701 |                   0.5      |
| 13 | results5.csv    | museData5.csv  |                    223 |                  222 |             0.515695 |                    0.502825 |                   0.555556 |
| 14 | results6.csv    | museData6.csv  |                    104 |                  103 |             0.480769 |                    0.463415 |                   0.571429 |
| 15 | results7.csv    | museData7.csv  |                    119 |                  119 |             0.302521 |                    0.315789 |                   0.25     |
| 16 | results8.csv    | museData8.csv  |                    178 |                  178 |             0.494382 |                    0.471831 |                   0.583333 |
| 17 | results9.csv    | museData9.csv  |                    116 |                  116 |             0.663793 |                    0.641304 |                   0.75     |
|                           |   g_mean |   accuracy |   balance_accuracy |   precision |   specificity |   recall |   f1_macro |
|:--------------------------|---------:|-----------:|-------------------:|------------:|--------------:|---------:|-----------:|
| ('museData0.csv', 'RF')   | 0.5      |   0.575758 |           0.5      |    0.287879 |     0         | 1        |   0.365385 |
| ('museData0.csv', 'XGB')  | 0.56391  |   0.606061 |           0.56391  |    0.593407 |     0.285714  | 0.842105 |   0.546032 |
| ('museData0.csv', 'SVM')  | 0.528195 |   0.575758 |           0.528195 |    0.546296 |     0.214286  | 0.842105 |   0.497826 |
| ('museData1.csv', 'RF')   | 0.454545 |   0.392157 |           0.454545 |    0.204082 |     0         | 0.909091 |   0.28169  |
| ('museData1.csv', 'XGB')  | 0.495298 |   0.45098  |           0.495298 |    0.492063 |     0.172414  | 0.818182 |   0.412829 |
