|    | archivo_local   | archivo_muse   |   n_respuestas_inicial |   n_respuestas_final |   balance clase 0(p) |   balance clase 0(p)(train) |   balance clase 0(p)(test) |
|---:|:----------------|:---------------|-----------------------:|---------------------:|---------------------:|----------------------------:|---------------------------:|
|  0 | results0.csv    | museData0.csv  |                    164 |                  131 |             0.603659 |                    0.586538 |                   0.592593 |
|  1 | results1.csv    | museData1.csv  |                    254 |                  218 |             0.594488 |                    0.591954 |                   0.431818 |
|  2 | results10.csv   | museData10.csv |                    137 |                  117 |             0.49635  |                    0.473118 |                   0.5      |
|  3 | results11.csv   | museData11.csv |                    155 |                  124 |             0.567742 |                    0.545455 |                   0.64     |
|  4 | results12.csv   | museData12.csv |                    107 |                   94 |             0.485981 |                    0.506667 |                   0.473684 |
|  5 | results13.csv   | museData13.csv |                     49 |                   28 |             0.469388 |                    0.5      |                   0.5      |
|  6 | results14.csv   | museData14.csv |                    153 |                  101 |             0.627451 |                    0.6625   |                   0.428571 |
|  7 | results15.csv   | museData15.csv |                    115 |                  109 |             0.521739 |                    0.551724 |                   0.454545 |
|  8 | results16.csv   | museData16.csv |                    161 |                   99 |             0.416149 |                    0.417722 |                   0.45     |
|  9 | results17.csv   | museData17.csv |                    158 |                  141 |             0.443038 |                    0.482143 |                   0.344828 |
| 10 | results18.csv   | museData18.csv |                    128 |                   83 |             0.5      |                    0.530303 |                   0.470588 |
| 11 | results19.csv   | museData19.csv |                     90 |                   76 |             0.477778 |                    0.5      |                   0.4375   |
| 12 | results4.csv    | museData4.csv  |                    168 |                  154 |             0.547619 |                    0.569106 |                   0.483871 |
| 13 | results5.csv    | museData5.csv  |                    223 |                  202 |             0.515695 |                    0.496894 |                   0.585366 |
| 14 | results6.csv    | museData6.csv  |                    104 |                   48 |             0.480769 |                    0.421053 |                   0.6      |
| 15 | results7.csv    | museData7.csv  |                    119 |                  110 |             0.302521 |                    0.318182 |                   0.272727 |
| 16 | results8.csv    | museData8.csv  |                    178 |                  178 |             0.494382 |                    0.471831 |                   0.583333 |
